2 1     1.253994
3 1     4.572199
4 1     4.854122
5 1     5.614713
6 1     6.560678
7 1     5.798707
8 1     5.174215
9 1     5.001000
10 1     5.378197
11 1     5.800216
12 1     5.985399
13 1     6.493843
14 1     6.550191
15 1     6.369655
16 1     6.918092
17 1     7.474122
18 1     7.750645
19 1     7.201562
20 1     6.830996
21 1     8.751286
22 1     7.769492
23 1     7.447315
24 1     7.579248
25 1     8.060397
26 1     8.372574
27 1     8.417987
28 1     9.565825
29 1     9.105081
30 1     8.861292
31 1     8.464632
32 1    10.036060
33 1     9.880410
34 1     9.453306
35 1     8.961724
36 1     8.316850
37 1     9.091892
38 1     9.819496
39 1    10.053109
40 1    10.606602
41 1    11.647854
42 1    11.145627
43 1    10.673331
44 1    10.570005
45 1    10.137184
46 1    10.038551
47 1     9.219816
48 1     9.257564
49 1    10.041539
50 1    10.478550
51 1    10.680005
52 1    11.241997
53 1    11.696260
54 1    12.056222
55 1    12.733126
56 1    13.601471
57 1    13.050383
58 1    12.396774
59 1    11.739250
60 1    12.219656
61 1    11.188610
62 1    11.206471
63 1    10.643778
64 1    10.908941
65 1    11.236103
66 1    11.317685
67 1    11.622070
68 1    11.611417
69 1    11.874553
70 1    12.021751
71 1    12.410681
72 1    12.500400
73 1    12.859335
74 1    12.934160
75 1    13.200379
76 1    13.770439
77 1    13.879841
78 1    14.255613
79 1    14.398003
80 1    14.758472
81 1    13.842417
82 1    13.171655
83 1    12.889143
84 1    12.330551
85 1    12.039311
86 1    11.704380
87 1    12.134352
88 1    12.813762
89 1    12.545617
90 1    13.059958
91 1    13.476739
92 1    14.282944
93 1    14.707566
94 1    13.875518
95 1    14.455535
96 1    13.522019
97 1    14.305593
98 1    13.649908
99 1    13.360015
100 1    12.690252
101 1    13.072873
102 1    12.534851
103 1    11.960038
104 1    11.760633
105 1    11.318679
106 1    11.190286
107 1    14.253508
108 1    13.732625
109 1    12.818151
110 1    12.031002
111 1    13.900090
112 1    13.293607
113 1    12.480885
114 1    12.803515
115 1    13.457526
116 1    13.956092
117 1    12.989419
118 1    12.424271
119 1    11.914802
120 1    11.384419
121 1    11.610340
122 1    13.705838
123 1    13.350094
124 1    12.691139
125 1    12.017695
126 1    11.371126
127 1    11.580371
128 1    12.200922
129 1    12.775954
130 1    13.257922
131 1    12.704822
132 1    12.121984
133 1    11.423660
134 1    11.981757
135 1    12.632993
136 1    13.532553
137 1    13.285424
138 1    12.523977
139 1    12.009371
140 1    11.472794
141 1    11.727105
142 1    12.261015
143 1    12.971122
144 1    13.403078
145 1    13.231969
146 1    12.950000
147 1    12.677638
148 1    12.277622
149 1    12.064100
150 1    10.223747
151 1    10.421732
152 1     9.710046
153 1     9.296236
154 1     8.189170
155 1     8.300602
156 1     8.771117
157 1     8.753428
158 1     9.835141
159 1    10.466136
160 1     9.051243
161 1     8.662707
162 1     8.043165
163 1     8.110025
164 1     7.490828
165 1     7.290062
166 1     7.291776
167 1     6.824954
168 1     6.767570
169 1     5.950000
170 1     4.897448
171 1     6.103278
172 1     7.605426
173 1     8.203658
174 1     8.629745
175 1     9.441531
176 1     9.227405
177 1     8.474963
178 1     7.902531
179 1     7.394931
180 1     6.931089
181 1     6.294839
182 1     5.846580
183 1     5.350234
184 1     4.540099
185 1     5.269013
186 1     5.667892
187 1     6.265980
188 1     6.231573
189 1     6.790066
